"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","if_diff_5yrs","interval","check_ty_correct"
"New Zealand","NIWA-SMOOTHOREOCR-1955-2013-FU","SMOOTHOREOCR","MFish","NIWA","1955-2013",1955,2013,"http://fs.fish.govt.nz/Doc/23760/FAR_2015_07_2870_DEE2010-02OEOC%20(Obj.%201,%20MS8,%20RR2).pdf.ashx","Integrated Analysis","CASAL","CASAL","New Zealand","Chatham Rise","New Zealand-MFish-CR","Smooth oreo Chatham Rise","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Pseudocyttus maculatus","Smooth oreo",999,"Current","New Zealand",81,"","0.06","NULL","",NA,NA,1955,2013,1955,2013,1955,2013,2013,1,2010,2009,"NIWA-SMOOTHOREOCR-1955-2013-FU_2010","NIWA-SMOOTHOREOCR-1955-2013-FU_2009",49000,52900,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,49000,52900,NA,NA,0.112,0.101,"ERbest-ratio","ratio",0.112,0.101,0.112,0.101,NA,NA,0.19,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,15768.4210526316,"TBmsy-calc-MT",48251.6,"",48251.6,"SB40%-MT",NA,"N",3,"Y"
"New Zealand","NIWA-SMOOTHOREOCR-1978-2010-CORDUE","SMOOTHOREOCR","MFish","NIWA","1978-2010",1978,2010,"https://fs.fish.govt.nz/Page.aspx?pk=61&tk=212","Integrated Analysis","CASAL","CASAL","New Zealand","Chatham Rise","New Zealand-MFish-CR","Smooth oreo Chatham Rise","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Pseudocyttus maculatus","Smooth oreo",0,"Current","New Zealand",81,"","0.06","NULL","",NA,NA,1978,2010,1978,2010,1978,2010,2010,2,2010,2009,"NIWA-SMOOTHOREOCR-1978-2010-CORDUE_2010","NIWA-SMOOTHOREOCR-1978-2010-CORDUE_2009",62900,64800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,62900,64800,NA,NA,0.0423,0.0409,"ERbest-ratio","ratio",0.0423,0.0409,0.0423,0.0409,0.0953,0.0921,0.09,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,43300,"TBmsy-MT",62861.2,"",62861.2,"SB40%-MT",NA,"N",3,"Y"
"New Zealand","NIWA-SOUTHHAKESA-1974-2011-CORDUE","SOUTHHAKESA","MFish","NIWA","1974-2011",1974,2011,"http://fs.fish.govt.nz/Page.aspx?pk=61&tk=212","Integrated Analysis","CASAL","CASAL","New Zealand","Sub-Antarctic","New Zealand-MFish-SA","Southern hake Sub-Antarctic","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Merluccius australis","Southern hake",0,"Current","New Zealand",81,"NULL","0.19","NULL","",NA,NA,1974,2011,1974,2011,1974,2011,2011,2,2011,2010,"NIWA-SOUTHHAKESA-1974-2011-CORDUE_2011","NIWA-SOUTHHAKESA-1974-2011-CORDUE_2010",46700,44800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,46700,44800,NA,NA,0.0186,0.0187,"ERbest-ratio","ratio",0.0186,0.0187,0.0186,0.0187,0.0506,0.0507,0.47,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,20851.06383,"TBmsy-MT",40865.2,"",40865.2,"SB40%-MT",NA,"N",3,"Y"
"New Zealand","NIWA-SOUTHHAKESA-1974-2014-FU","SOUTHHAKESA","MFish","NIWA","1974-2014",1974,2014,"http://fs.fish.govt.nz/Doc/23793/FAR_2015_29_2906_DEE2010-02HAK%20C_Obj3_CS8.pdf.ashx","Integrated Analysis","CASAL","CASAL","New Zealand","Sub-Antarctic","New Zealand-MFish-SA","Southern hake Sub-Antarctic","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Merluccius australis","Southern hake",999,"Current","New Zealand",81,"NULL","0.29","NULL","",NA,NA,1974,2014,1974,2014,1974,2014,2014,1,2011,2010,"NIWA-SOUTHHAKESA-1974-2014-FU_2011","NIWA-SOUTHHAKESA-1974-2014-FU_2010",32600,31700,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,32600,31700,NA,NA,0.0406,0.0608,"ERbest-ratio","ratio",0.0406,0.0608,0.0406,0.0608,NA,NA,0.214382,"ERmsy-ratio",NA,NA,NA,NA,NA,NA,NA,NA,20248.9014935955,"TBmsy-calc-MT",25774.4,"",25774.4,"SB40%-MT",NA,"N",3,"Y"
"New Zealand","NZMFishMIDDEPTHSWG-SBWHITACIR-1977-2013-FU","SBWHITACIR","MFish","NZMFishMIDDEPTHSWG","1977-2013",1977,2013,"received from contact","Integrated Analysis","CASAL","CASAL","New Zealand","Campbell Island Rise","New Zealand-MFish-CIR","Southern blue whiting Campbell Island Rise","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Micromesistius australis","Southern blue whiting",999,"Current","New Zealand",81,"NULL","0.2","NULL","average of males and females",NA,NA,1977,2013,1977,2013,1977,2013,2013,1,2011,2010,"NZMFishMIDDEPTHSWG-SBWHITACIR-1977-2013-FU_2011","NZMFishMIDDEPTHSWG-SBWHITACIR-1977-2013-FU_2010",165000,170000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,165000,170000,NA,NA,0.17,0.11,"ERbest-ratio","ratio",0.17,0.11,0.17,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134634,"",134634,"SB40%-MT",NA,"N",2,"Y"
"New Zealand","NZMFishMIDDEPTHSWG-SBWHITACIR-1978-2011-CHING","SBWHITACIR","MFish","NZMFishMIDDEPTHSWG","1978-2011",1978,2011,"http://fs.fish.govt.nz/Page.aspx?pk=113&dk=23096","Unknown","Unknown","Unknown","New Zealand","Campbell Island Rise","New Zealand-MFish-CIR","Southern blue whiting Campbell Island Rise","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Micromesistius australis","Southern blue whiting",0,"Current","New Zealand",81,"NULL",NA,NA,NA,NA,NA,1979,2011,1979,2011,1978,2011,2011,2,2011,2010,"NZMFishMIDDEPTHSWG-SBWHITACIR-1978-2011-CHING_2011","NZMFishMIDDEPTHSWG-SBWHITACIR-1978-2011-CHING_2010",198000,189000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,198000,189000,NA,NA,0.0745,0.0512,"ERbest-ratio","ratio",0.0745,0.0512,0.0745,0.0512,0.145,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",2,"Y"
"New Zealand","NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","PAUAPAU5B","MFish","NZMFishSHELLFISHWG","1963-2007",1963,2007,"received from contact","Custom length-based Bayesian Model","LBBM","Custom length-based Bayesian Model","New Zealand","New Zealand Area PAU 5B (Stewart Island)","New Zealand-MFish-PAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","Haliotis iris","Blackfoot abalone",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1963,2007,1963,2007,1964,2007,2007,2,2007,2006,"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN_2007","NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN_2006",1490,1490,"SSB-MT","MT",1570,1560,1570,1560,NA,NA,1490,1490,NA,NA,0.0927,0.0987,"ERbest-ratio","ratio",0.0927,0.0987,0.0927,0.0987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",6,"Y"
"New Zealand","NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU","PAUAPAU5B","MFish","NZMFishSHELLFISHWG","1965-2013",1965,2013,"http://fs.fish.govt.nz/Doc/23677/FAR_2014_45_2791_PAU2013-04%20(Obj.%201,%20MS6)%20Part%201.pdf.ashx","Custom length-based Bayesian Model","LBBM","Custom length-based Bayesian Model","New Zealand","New Zealand Area PAU 5B (Stewart Island)","New Zealand-MFish-PAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","Haliotis iris","Blackfoot abalone",999,"Current","New Zealand",81,"","0.15","NULL","",NA,NA,1965,2013,1965,2013,1965,2013,2013,1,2007,2006,"NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU_2007","NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU_2006",1200,1120,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,1200,1120,NA,NA,0.12,0.13,"ERbest-ratio","ratio",0.12,0.13,0.12,0.13,NA,NA,0.67,"ERmsy-ratio",0.3,"ERmgt-ratio",NA,NA,NA,NA,NA,NA,283.5821,"TBmsy-calc-MT",1346.4,"",1346.4,"SB40%-MT","","Y",6,"Y"
"New Zealand","NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","PAUAPAU5D","MFish","NZMFishSHELLFISHWG","1964-2006",1964,2006,"received from contact","Custom length-based Bayesian Model","LBBM","Custom length-based Bayesian Model","New Zealand","New Zealand Area PAU 5D (Otago)","New Zealand-MFish-PAU5D","Paua New Zealand Area PAU 5D (Otago)","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","Haliotis iris","Blackfoot abalone",0,"Current","New Zealand",81,"",NA,NA,NA,NA,NA,1964,2006,1964,2006,1965,2006,2006,2,2006,2005,"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN_2006","NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN_2005",373,371,"SSB-MT","MT",400,396,400,396,NA,NA,373,371,NA,NA,0.636,0.452,"ERbest-ratio","ratio",0.636,0.452,0.636,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Y",6,"Y"
"New Zealand","NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU","PAUAPAU5D","MFish","NZMFishSHELLFISHWG","1965-2012",1965,2012,"http://fs.fish.govt.nz/Doc/23417/FAR_2013_57_2680_PAU2008-02_Obj4_MS16_RR1.pdf.ashx","Custom length-based Bayesian Model","LBBM","Custom length-based Bayesian Model","New Zealand","New Zealand Area PAU 5D (Otago)","New Zealand-MFish-PAU5D","Paua New Zealand Area PAU 5D (Otago)","Gastropoda","Archaeogastropoda","Haliotidae","Haliotis","Haliotis iris","Haliotis iris","Blackfoot abalone",999,"Current","New Zealand",81,"NULL","0.15","NULL","",NA,NA,1965,2012,1965,2012,1965,2012,2012,1,2006,2005,"NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU_2006","NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU_2005",726,696,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,726,696,NA,NA,0.27,0.24,"ERbest-ratio","ratio",0.27,0.24,0.27,0.24,NA,NA,0.26,"ERmsy-ratio",0.16,"ERmgt-ratio",NA,NA,NA,NA,NA,NA,465.3846,"TBmsy-calc-MT",914,"",914,"SB40%-MT","","Y",6,"Y"
"US Alaska","AFSC-PCODGA-1977-2014-HIVELY","PCODGA","NMFS","AFSC","1977-2014",1977,2014,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Pacific%20cod%20-%20Gulf%20of%20Alaska&stockid=10506","Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","Gulf of Alaska","USA-NMFS-GA","Pacific cod Gulf of Alaska","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",0,"Current","USA",67,"NULL","0.38","NULL","",NA,NA,1977,2014,1980,2010,1980,2013,2010,2,2010,2009,"AFSC-PCODGA-1977-2014-HIVELY_2010","AFSC-PCODGA-1977-2014-HIVELY_2009",81800,73200,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,81800,73200,NA,NA,0.379,0.291,"F-1/yr","1/yr",NA,NA,NA,NA,0.379,0.291,NA,NA,NA,NA,0.626,NA,0.54,"F40%-1/yr",NA,NA,NA,NA,110700,"B35%",91100,"SSB40%-MT",NA,"N",4,"Y"
"US Alaska","AFSC-PCODGA-1977-2015-SISIMP2016","PCODGA","NMFS","AFSC","1977-2015",1977,2015,"https://apps-afsc.fisheries.noaa.gov/REFM/Docs/2015/GOApcod.pdf","Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","Gulf of Alaska","USA-NMFS-GA","Pacific cod Gulf of Alaska","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",999,"Current","USA",67,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1977,2015,1977,2015,1977,2014,2014,1,2010,2009,"AFSC-PCODGA-1977-2015-SISIMP2016_2010","AFSC-PCODGA-1977-2015-SISIMP2016_2009",168000,152000,"SSB-MT","MT",646000,565000,646000,565000,NA,NA,168000,152000,NA,NA,0.153,0.119,"F-1/yr","1/yr",0.121207430340557,0.0941592920353982,NA,NA,0.153,0.119,NA,NA,NA,NA,0.495,NA,NA,NA,NA,NA,NA,NA,113800,"B35%",NA,NA,NA,"N",4,"Y"
"US Alaska","AFSC-SNOWCRABBS-1978-2013-HIVELY","SNOWCRABBS","NMFS","AFSC","1978-2013",1978,2013,"https://www.fisheries.noaa.gov/resource/data/2013-alaska-fisheries-stock-assessment-and-fishery-evaluation-report-king-and-tanner","Biomass dynamics model","SSPDM","Size-structured population dynamics model","USA","Bering Sea","USA-NMFS-BS","Snow crab Bering Sea","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio","Chionoecetes opilio","Snow crab",0,"Current","USA",67,"NULL","0.246","NULL","",NA,NA,1978,2012,1978,2012,1978,2012,2012,2,2012,2011,"AFSC-SNOWCRABBS-1978-2013-HIVELY_2012","AFSC-SNOWCRABBS-1978-2013-HIVELY_2011",170000,185000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,170000,185000,NA,NA,0.59,0.56,"F-1/yr","1/yr",NA,NA,NA,NA,0.59,0.56,NA,NA,NA,NA,1.58,NA,NA,NA,NA,NA,NA,NA,154170,"B35%",NA,NA,NA,"N",2,"Y"
"US Alaska","AFSC-SNOWCRABBS-1979-2015-SISIMP2016","SNOWCRABBS","NMFS","AFSC","1979-2015",1979,2015,"https://www.fisheries.noaa.gov/resource/data/2015-alaska-stock-assessment-and-fishery-evaluation-report-king-and-tanner-crab","Unknown","Unknown","Unknown","USA","Bering Sea","USA-NMFS-BS","Snow crab Bering Sea","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio","Chionoecetes opilio","Snow crab",999,"Current","USA",67,"Imported from SIS data dump received 2016","0.246",NA,NA,NA,NA,1979,2015,1979,2015,1979,2014,2014,1,2012,2011,"AFSC-SNOWCRABBS-1979-2015-SISIMP2016_2012","AFSC-SNOWCRABBS-1979-2015-SISIMP2016_2011",149000,193000,"SSB-MT","MT",679000,657000,679000,657000,NA,NA,149000,193000,NA,NA,0.63,0.28,"F-1/yr","1/yr",0.0620029455081001,0.0386605783866058,NA,NA,0.63,0.28,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,146357,"TBmsy-MT",157800,"B35%",NA,NA,NA,"N",2,"Y"
"US Alaska","AFSC-TANNERCRABBSAI-1949-2013-HIVELY","TANNERCRABBSAI","NMFS","AFSC","1949-2013",1949,2013,"https://www.fisheries.noaa.gov/resource/data/2013-alaska-fisheries-stock-assessment-and-fishery-evaluation-report-king-and-tanner","Biomass dynamics model","TCSAM","Tanner Crab Stock Assessment Model","USA","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Tanner crab Bering Sea and Aleutian Islands","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes bairdi","Chionoecetes bairdi","Tanner crab",0,"Current","USA",67,"NULL","0.295",NA,NA,NA,NA,1949,2012,1965,2012,1966,2013,2012,2,2012,2011,"AFSC-TANNERCRABBSAI-1949-2013-HIVELY_2012","AFSC-TANNERCRABBSAI-1949-2013-HIVELY_2011",59400,59300,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,59400,59300,NA,NA,0,0,"F-1/yr","1/yr",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.73,NA,0.73,"F35%-1/yr",NA,NA,NA,NA,33540,"B35%",33540,"SSB35%-MT",NA,"N",2,"Y"
"US Alaska","AFSC-TANNERCRABBSAI-1965-2015-SISIMP2016","TANNERCRABBSAI","NMFS","AFSC","1965-2015",1965,2015,"https://www.fisheries.noaa.gov/resource/data/2015-alaska-stock-assessment-and-fishery-evaluation-report-king-and-tanner-crab","Unknown","Unknown","Unknown","USA","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Tanner crab Bering Sea and Aleutian Islands","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes bairdi","Chionoecetes bairdi","Tanner crab",999,"Current","USA",67,"Imported from SIS data dump received 2016","0.295",NA,NA,NA,NA,1965,2015,1965,2014,1965,2014,2014,1,2012,2011,"AFSC-TANNERCRABBSAI-1965-2015-SISIMP2016_2012","AFSC-TANNERCRABBSAI-1965-2015-SISIMP2016_2011",46500,45100,"SSB-MT","MT",118000,104000,118000,104000,NA,NA,46500,45100,NA,NA,0,0,"F-1/yr","1/yr",0.000830508474576271,0.00125,NA,NA,0,0,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,26791,"TBmsy-MT",26800,"B35%",NA,NA,NA,"N",2,"Y"
"US East Coast","NEFSC-ACADREDGOMGB-1913-2007-MILLER","ACADREDGOMGB","NMFS","NEFSC","1913-2007",1913,2007,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Acadian%20redfish%20-%20Gulf%20of%20Maine%20/%20Georges%20Bank&stockid=10455","Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",0,"Current","USA",21,"","0.05","2008","",NA,NA,1913,2007,1913,2007,1913,2007,2007,2,2007,2006,"NEFSC-ACADREDGOMGB-1913-2007-MILLER_2007","NEFSC-ACADREDGOMGB-1913-2007-MILLER_2006",235000,199000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,235000,199000,NA,NA,0.005,0.00345,"F-1/yr","1/yr",0.00215,0.00142,0.00215,0.00142,0.005,0.00345,NA,NA,NA,NA,0.040895,"",NA,NA,NA,NA,NA,NA,203582,"",NA,NA,NA,"Y",7,"Y"
"US East Coast","NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016","ACADREDGOMGB","NMFS","NEFSC","1913-2014",1913,2014,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Acadian%20redfish%20-%20Gulf%20of%20Maine%20/%20Georges%20Bank&stockid=10455","Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Acadian redfish Gulf of Maine / Georges Bank","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes fasciatus","Sebastes fasciatus","Acadian redfish",999,"Current","USA",21,"Imported from SIS data dump received 2016","0.05",NA,NA,NA,NA,1913,2014,1913,2014,1913,2014,2014,1,2007,2006,"NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016_2007","NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016_2006",206000,185000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,206000,185000,NA,NA,0.00578,0.0036,"F-1/yr","1/yr",NA,NA,NA,NA,0.00578,0.0036,NA,NA,NA,NA,0.038,"F50% as proxy",NA,NA,0.038,"F50%",NA,NA,281112,"SSB/R9F50",NA,NA,NA,"Y",7,"Y"
"US East Coast","NEFSC-AMPL5YZ-1960-2010-HIVELY","AMPL5YZ","NMFS","NEFSC","1960-2010",1960,2010,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=American%20plaice%20-%20Gulf%20of%20Maine%20/%20Georges%20Bank&stockid=10019","VPA","ADAPT","A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.","USA","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","American plaice Gulf of Maine / Georges Bank","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",0,"Current","USA",21,"NULL","0.2","NULL","",NA,NA,1980,2010,1980,2010,1960,2010,2010,2,2010,2009,"NEFSC-AMPL5YZ-1960-2010-HIVELY_2010","NEFSC-AMPL5YZ-1960-2010-HIVELY_2009",17600,16900,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,17600,16900,NA,NA,0.09,0.12,"F-1/yr","1/yr",NA,NA,NA,NA,0.09,0.12,NA,NA,NA,NA,0.18,"",NA,NA,NA,NA,NA,NA,18398,"",NA,NA,NA,"N",4,"Y"
"US East Coast","NEFSC-AMPL5YZ-1980-2014-SISIMP2016","AMPL5YZ","NMFS","NEFSC","1980-2014",1980,2014,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=American%20plaice%20-%20Gulf%20of%20Maine%20/%20Georges%20Bank&stockid=10019","VPA","VPA","Virtual Population Analysis","USA","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","American plaice Gulf of Maine / Georges Bank","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",999,"Current","USA",21,"Imported from SIS data dump received 2016","0.2",NA,NA,NA,NA,1980,2014,1980,2014,1980,2014,2014,1,2010,2009,"NEFSC-AMPL5YZ-1980-2014-SISIMP2016_2010","NEFSC-AMPL5YZ-1980-2014-SISIMP2016_2009",14000,13000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,14000,13000,NA,NA,0.14,0.2,"F-1/yr","1/yr",NA,NA,NA,NA,0.14,0.2,NA,NA,NA,NA,0.196,"F40% as proxy",NA,NA,0.196,"F40%  ",NA,NA,13107,"SSB/R(F40)",NA,NA,NA,"N",4,"Y"
"US East Coast","NEFSC-CODGOM-1981-2011-CHING","CODGOM","NMFS","NEFSC","1981-2011",1981,2011,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Atlantic%20cod%20-%20Gulf%20of%20Maine&stockid=10508","Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","Gulf of Maine","USA-NMFS-5Y","Atlantic cod Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",0,"Current","USA",21,"NULL","0.2",NA,NA,NA,NA,1982,2011,1982,2011,1982,2011,2011,2,2011,2010,"NEFSC-CODGOM-1981-2011-CHING_2011","NEFSC-CODGOM-1981-2011-CHING_2010",9900,11100,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,9900,11100,NA,NA,0.878,0.833,"F-1/yr","1/yr",NA,NA,NA,NA,0.878,0.833,NA,NA,NA,NA,0.18,"",NA,NA,NA,NA,NA,NA,54743,"Average of 2 models.",NA,NA,NA,"N",3,"Y"
"US East Coast","NEFSC-CODGOM-2006-2014-ASHBROOK","CODGOM","NMFS","NEFSC","2006-2014",2006,2014,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Atlantic%20cod%20-%20Gulf%20of%20Maine&stockid=10508","Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","Gulf of Maine","USA-NMFS-5Y","Atlantic cod Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","Atlantic cod",999,"Current","USA",21,"NULL","0.2",NA,NA,NA,NA,2007,2014,2007,2014,2007,2014,2014,1,2011,2010,"NEFSC-CODGOM-2006-2014-ASHBROOK_2011","NEFSC-CODGOM-2006-2014-ASHBROOK_2010",6730,10600,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,6730,10600,NA,NA,1.35,0.908,"F-1/yr","1/yr",NA,NA,NA,NA,1.35,0.908,NA,NA,NA,NA,0.187,NA,0.187,"F40%-1/yr",NA,NA,NA,NA,59045,"M-ramp",59045,"SSBmsy-MT",NA,"N",3,"Y"
"US East Coast","NEFSC-HAD5Y-1964-2011-CHING","HAD5Y","NMFS","NEFSC","1964-2011",1964,2011,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Haddock%20-%20Gulf%20of%20Maine&stockid=10519","VPA","VPA","Virtual Population Analysis","USA","Gulf of Maine","USA-NMFS-5Y","Haddock Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",0,"Current","USA",21,"NULL","0.2",NA,NA,NA,NA,1977,2011,1977,2010,1964,2010,2010,2,2010,2009,"NEFSC-HAD5Y-1964-2011-CHING_2010","NEFSC-HAD5Y-1964-2011-CHING_2009",2870,3860,"SSB-MT","MT",3650,4650,3650,4650,NA,NA,2870,3860,NA,NA,0.82,0.53,"F-1/yr","1/yr",0.359,0.222,0.359,0.222,0.82,0.53,NA,NA,NA,NA,0.46,"",NA,NA,NA,NA,NA,NA,4904,"",NA,NA,NA,"N",4,"Y"
"US East Coast","NEFSC-HAD5Y-1977-2014-SISIMP2016","HAD5Y","NMFS","NEFSC","1977-2014",1977,2014,"https://www.st.nmfs.noaa.gov/stocksmart?stockname=Haddock%20-%20Gulf%20of%20Maine&stockid=10519","Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","Gulf of Maine","USA-NMFS-5Y","Haddock Gulf of Maine","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Haddock",999,"Current","USA",21,"Imported from SIS data dump received 2016","0.2",NA,NA,NA,NA,1977,2014,1977,2014,1977,2014,2014,1,2010,2009,"NEFSC-HAD5Y-1977-2014-SISIMP2016_2010","NEFSC-HAD5Y-1977-2014-SISIMP2016_2009",4880,5740,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,4880,5740,NA,NA,0.287,0.247,"F-1/yr","1/yr",NA,NA,NA,NA,0.287,0.247,NA,NA,NA,NA,0.468,"",NA,NA,0.468,"F40%  ",NA,NA,4623,"SSB/R(F40MS",NA,NA,NA,"N",4,"Y"
