"assessid","stockid","country","region","assesssource","method","methodlong","M","M_notes","ty","B_ty","B_type","B_unit","TBbest_ty","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1"
"NWWG-GOLDREDV-VI-XII-XIV-1971-2016-ICESIMP2016","GOLDREDV-VI-XII-XIV","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/smr-5614.pdf","Unknown","Unknown",NA,NA,2013,563000,"TBbest-MT","MT",563000,563000,559000,NA,NA,343000,327000,NA,NA,0.09449378330373,0.0815742397137746
"SEFSC-GRAMBERGM-1950-2012-SISIMP2016","GRAMBERGM","USA","US Southeast and Gulf","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2004,3750,"TBbest-MT","MT",3750,3750,4430,NA,NA,1740,1690,NA,NA,0.468,0.487
"SEFSC-GRAMBERGM-1986-2004-JENSEN","GRAMBERGM","USA","US Southeast and Gulf","http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR2%20GOM%20GreaterAmberjack.pdf?id=DOCUMENT","Biomass dynamics model","Surplus production model",NA,NA,2004,1930,"TBbest-MT","MT",1930,1930,2040,NA,NA,NA,NA,NA,NA,0.865,0.967
"SEFSC-GTRIGGM-1945-2013-SISIMP2016","GTRIGGM","USA","US Southeast and Gulf","","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2010,6580000000,"SSB-E00eggs","E00eggs",6710,6710,6790,NA,NA,NA,NA,6580000000,6470000000,0.0774962742175857,0.0974963181148748
"SEFSC-GTRIGGM-1962-2010-HIVELY","GTRIGGM","USA","US Southeast and Gulf","http://www.sefsc.noaa.gov/sedar/","Biomass dynamics model","Age-structured surplus production model","0.27","",2010,670000000000,"SSB-E00eggs","E00eggs",NA,NA,NA,2050000,1990000,NA,NA,670000000000,640000000000,0.0502439024390244,0.0693467336683417
"DFO-HAD4X5Y-1970-2014-WATSON","HAD4X5Y","Canada","Canada East Coast","http://publications.gc.ca/collections/collection_2015/mpo-dfo/Fs70-5-2015-022-eng.pdf","VPA","Virtual Population Analysis",NA,NA,2010,45500,"TBbest-MT","MT",45500,45500,60800,NA,NA,NA,NA,NA,NA,0.124395604395604,0.0904605263157895
"DFO-MAR-HAD4X5Y-1970-2011-CHING","HAD4X5Y","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2012/2012_023-eng.pdf","Unknown","Unknown",NA,NA,2010,45900,"TBbest-MT","MT",45900,45900,60200,NA,NA,42700,38100,NA,NA,0.061,0.0742
"NEFSC-HAD5Y-1964-2011-CHING","HAD5Y","USA","US East Coast","http://nefsc.noaa.gov/publications/crd/crd1206/1206.pdf","VPA","Virtual Population Analysis",NA,NA,2010,2870,"SSB-MT","MT",3650,3650,4650,NA,NA,2870,3860,NA,NA,0.82,0.53
"NEFSC-HAD5Y-1977-2014-SISIMP2016","HAD5Y","USA","US East Coast","","Statistical catch at age model","Age Structured Assessment Program",NA,NA,2010,4880,"SSB-MT","MT",NA,NA,NA,NA,NA,4880,5740,NA,NA,0.287,0.247
"NWWG-HADFAPL-1955-2012-CHING","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-faro.pdf","VPA","Extended Survivor Analysis",NA,NA,2011,15200,"SSB-MT","MT",22600,22600,25400,NA,NA,15200,20000,NA,NA,0.261,0.33
"NWWG-HADFAPL-1955-2013-ICESIMP2016","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/had-faro.pdf","Unknown","Unknown",NA,NA,2011,13500,"SSB-MT","MT",21400,21400,23100,NA,NA,13500,18400,NA,NA,0.343,0.368
"NWWG-HADFAPL-1955-2014-ICESIMP2016","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-faro.pdf","Unknown","Unknown",NA,NA,2011,14600,"SSB-MT","MT",NA,NA,NA,NA,NA,14600,19800,NA,NA,0.304,0.341
"NWWG-HADFAPL-1955-2015-ICESIMP2016","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-faro.pdf","Unknown","Unknown",NA,NA,2011,12700,"SSB-MT","MT",21500,21500,22000,NA,NA,12700,18000,NA,NA,0.361,0.377
"NWWG-HADFAPL-1955-2016-ICESIMP2016","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-faro.pdf","Unknown","Unknown",NA,NA,2011,11900,"SSB-MT","MT",18500,18500,20900,NA,NA,11900,17400,NA,NA,0.378,0.379
"NWWG-HADFAPL-1956-2017-ICESIMP2018","HADFAPL","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/had.27.5b.pdf","Unknown","Unknown",NA,NA,2011,9600,"SSB-MT","MT",16100,16100,18000,NA,NA,9600,12900,NA,NA,0.4,0.41
"NWWG-HADFAPL-1956-2018-ICESIMP2018","HADFAPL","multinational","Europe (non-EU)","","Unknown","Unknown",NA,NA,2011,9110,"SSB-MT","MT",15200,15200,17300,NA,NA,9110,12400,NA,NA,0.434,0.428
"NEFSC-HADGB-1931-2010-CHING","HADGB","USA","US East Coast","http://nefsc.noaa.gov/publications/crd/crd1206/1206.pdf","VPA","Virtual Population Analysis",NA,NA,2010,167000,"SSB-MT","MT",NA,NA,NA,NA,NA,167000,211000,NA,NA,0.18,0.14
"NEFSC-HADGB-1960-2014-SISIMP2016","HADGB","USA","US East Coast","","VPA","Virtual Population Analysis",NA,NA,2010,104000,"SSB-MT","MT",NA,NA,NA,NA,NA,104000,140000,NA,NA,0.31,0.19
"NWWG-HADICE-1977-2012-CHING","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-iceg.pdf","VPA","A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.",NA,NA,2011,91400,"SSB-MT","MT",138000,138000,162000,NA,NA,91400,111000,NA,NA,0.446,0.487
"NWWG-HADICE-1977-2013-ICESIMP2016","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/had-iceg.pdf","Unknown","Unknown",NA,NA,2011,97900,"SSB-MT","MT",150000,150000,169000,NA,NA,97900,115000,NA,NA,0.41,0.466
"NWWG-HADICE-1977-2014-ICESIMP2016","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-iceg.pdf","Unknown","Unknown",NA,NA,2011,96000,"SSB-MT","MT",NA,NA,NA,NA,NA,96000,113000,NA,NA,0.413,0.475
"NWWG-HADICE-1977-2015-ICESIMP2016","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-iceg.pdf","Unknown","Unknown",NA,NA,2011,97700,"SSB-MT","MT",NA,NA,NA,NA,NA,97700,114000,NA,NA,0.411,0.471
"NWWG-HADICE-1977-2016-ICESIMP2016","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-iceg.pdf","Unknown","Unknown",NA,NA,2011,98000,"SSB-MT","MT",NA,NA,NA,NA,NA,98000,114000,NA,NA,0.402,0.469
"NWWG-HADICE-1977-2017-ICESIMP2018","HADICE","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/had.27.5a.pdf","Unknown","Unknown",NA,NA,2011,95200,"SSB-MT","MT",151000,151000,165000,NA,NA,95200,112000,NA,NA,0.408,0.483
"WGCSE-HADIS-1993-2016-ICESIMP2018","HADIS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,3260,"SSB-MT","MT",NA,NA,NA,NA,NA,3260,3590,NA,NA,0.259,0.495
"WGCSE-HADIS-1993-2017-ICESIMP2018","HADIS","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,3210,"SSB-MT","MT",10500,10500,9140,NA,NA,3210,3520,NA,NA,0.267,0.512
"AFWG-HADNEAR-1947-2012-CHING","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-arct.pdf","VPA","Extended Survivor Analysis",NA,NA,2011,1050000,"TBbest-MT","MT",1050000,1050000,1210000,NA,NA,445000,350000,NA,NA,0.295,0.206
"AFWG-HADNEAR-1947-2013-ICESIMP2016","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/had-arct.pdf","Unknown","Unknown",NA,NA,2011,1070000,"TBbest-MT","MT",1070000,1070000,1210000,NA,NA,419000,328000,NA,NA,0.290654205607477,0.205785123966942
"AFWG-HADNEAR-1947-2014-ICESIMP2016","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-arct.pdf","Unknown","Unknown",NA,NA,2011,1130000,"TBbest-MT","MT",1130000,1130000,1260000,NA,NA,404000,303000,NA,NA,0.274336283185841,0.197619047619048
"AFWG-HADNEAR-1947-2015-ICESIMP2016","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-arct.pdf","Unknown","Unknown",NA,NA,2011,1330000,"TBbest-MT","MT",1330000,1330000,1410000,NA,NA,506000,359000,NA,NA,0.233082706766917,0.176595744680851
"AFWG-HADNEAR-1947-2016-ICESIMP2016","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-arct.pdf","Unknown","Unknown",NA,NA,2011,1370000,"TBbest-MT","MT",1370000,1370000,1460000,NA,NA,512000,363000,NA,NA,0.226277372262774,0.170547945205479
"AFWG-HADNEAR-1947-2017-ICESIMP2018","HADNEAR","multinational","Europe (non-EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/had.27.1-2.pdf","Unknown","Unknown",NA,NA,2011,1290000,"TBbest-MT","MT",1290000,1290000,1440000,NA,NA,488000,369000,NA,NA,0.24031007751938,0.172916666666667
"WGNSSK-HADNS-IIIa-VIa-1972-2014-ICESIMP2016","HADNS-IIIa-VIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-346a.pdf","Unknown","Unknown",NA,NA,2013,420000,"TBbest-MT","MT",420000,420000,455000,NA,NA,235000,307000,NA,NA,0.111428571428571,0.094945054945055
"WGNSSK-HADNS-IIIa-VIa-1972-2015-ICESIMP2016","HADNS-IIIa-VIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-346a.pdf","Unknown","Unknown",NA,NA,2013,355000,"TBbest-MT","MT",355000,355000,405000,NA,NA,225000,281000,NA,NA,0.132676056338028,0.106666666666667
"WGNSSK-HADNS-IIIa-VIa-1972-2015-ICESIMP2018","HADNS-IIIa-VIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-346a.pdf","Unknown","Unknown",NA,NA,2013,292000,"TBbest-MT","MT",292000,292000,339000,NA,NA,182000,232000,NA,NA,0.161301369863014,0.127433628318584
"WGNSSK-HADNS-IIIa-VIa-1972-2016-ICESIMP2018","HADNS-IIIa-VIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-346a.pdf","Unknown","Unknown",NA,NA,2013,380000,"TBbest-MT","MT",380000,380000,446000,NA,NA,263000,333000,NA,NA,0.123947368421053,0.0968609865470852
"WGNSSK-HADNS-IIIa-VIa-1972-2017-ICESIMP2018","HADNS-IIIa-VIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/had.27.46a20.pdf","Unknown","Unknown",NA,NA,2013,374000,"TBbest-MT","MT",374000,374000,435000,NA,NA,259000,327000,NA,NA,0.125935828877005,0.0993103448275862
"WGNSSK-HADNS-IIIa-VIa-1972-2018-ICESIMP2018","HADNS-IIIa-VIa","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2013,356000,"TBbest-MT","MT",356000,356000,412000,NA,NA,250000,314000,NA,NA,0.132303370786517,0.104854368932039
"WGCSE-HADROCK-1990-2013-ICESIMP2016","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/had-rock.pdf","Unknown","Unknown",NA,NA,2011,8790,"TBbest-MT","MT",8790,8790,13700,NA,NA,8330,13300,NA,NA,0.234357224118316,0.270802919708029
"WGCSE-HADROCK-1990-2014-ICESIMP2016","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-rock.pdf","Unknown","Unknown",NA,NA,2011,8290,"TBbest-MT","MT",8290,8290,13200,NA,NA,8080,12900,NA,NA,0.248492159227986,0.281060606060606
"WGCSE-HADROCK-1990-2015-ICESIMP2016","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-rock.pdf","Unknown","Unknown",NA,NA,2011,9310,"TBbest-MT","MT",9310,9310,14200,NA,NA,8920,13800,NA,NA,0.221267454350161,0.261267605633803
"WGCSE-HADROCK-1990-2016-ICESIMP2016","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-rock.pdf","Unknown","Unknown",NA,NA,2011,8970,"TBbest-MT","MT",8970,8970,13800,NA,NA,8530,13400,NA,NA,0.229654403567447,0.268840579710145
"WGCSE-HADROCK-1990-2017-ICESIMP2018","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/had.27.6b.pdf","Unknown","Unknown",NA,NA,2011,7220,"TBbest-MT","MT",7220,7220,12000,NA,NA,6890,11700,NA,NA,0.285318559556787,0.309166666666667
"WGNSSK-HADROCK-1990-2012-CHING","HADROCK","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-rock.pdf","VPA","Extended Survivor Analysis",NA,NA,2011,11400,"TBbest-MT","MT",11400,11400,16800,NA,NA,11000,16100,NA,NA,0.181,0.221
"WGCSE-HADVIIb-k-1993-2013-ICESIMP2016","HADVIIb-k","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/had-7b-k.pdf","Unknown","Unknown",NA,NA,2011,85700,"TBbest-MT","MT",85700,85700,115000,NA,NA,72400,32500,NA,NA,0.150525087514586,0.0878260869565217
"WGCSE-HADVIIb-k-1993-2014-ICESIMP2016","HADVIIb-k","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/had-7b-k.pdf","Unknown","Unknown",NA,NA,2011,88400,"TBbest-MT","MT",88400,88400,118000,NA,NA,76800,34400,NA,NA,0.308823529411765,0.226271186440678
"WGCSE-HADVIIb-k-1993-2015-ICESIMP2016","HADVIIb-k","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/had-7b-k.pdf","Unknown","Unknown",NA,NA,2011,95800,"TBbest-MT","MT",95800,95800,126000,NA,NA,83200,36500,NA,NA,0.284968684759916,0.212698412698413
"WGCSE-HADVIIb-k-1993-2016-ICESIMP2016","HADVIIb-k","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/had-7b-k.pdf","Unknown","Unknown",NA,NA,2011,97700,"TBbest-MT","MT",97700,97700,129000,NA,NA,85000,37000,NA,NA,0.27942681678608,0.207751937984496
"WGCSE-HADVIIb-k-1993-2017-ICESIMP2018","HADVIIb-k","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2011,98000,"TBbest-MT","MT",98000,98000,129000,NA,NA,85200,37400,NA,NA,0.278571428571429,0.207751937984496
"WGSSDS-HADVIIb-k-1987-2012-CHING","HADVIIb-k","multinational","Europe (EU)","http://www.ices.dk/committe/acom/comwork/report/2012/2012/had-7b-k.pdf","Statistical catch at age model","Age Structured Assessment Program",NA,NA,2011,88000,"TBbest-MT","MT",88000,88000,118000,NA,NA,76500,32000,NA,NA,0.305,0.224
"WGBIE-HAKENRTN-1978-2013-ICESIMP2016","HAKENRTN","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/hke-nrtn.pdf","Unknown","Unknown",NA,NA,2010,251000,"TBbest-MT","MT",251000,251000,167000,NA,NA,181000,103000,NA,NA,0.30996015936255,0.392814371257485
"WGBIE-HAKENRTN-1978-2014-ICESIMP2016","HAKENRTN","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/hke-nrtn.pdf","Unknown","Unknown",NA,NA,2010,191000,"TBbest-MT","MT",191000,191000,124000,NA,NA,126000,71100,NA,NA,0.444502617801047,0.563709677419355
"WGBIE-HAKENRTN-1978-2015-ICESIMP2016","HAKENRTN","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/hke-nrtn.pdf","Unknown","Unknown",NA,NA,2010,207000,"TBbest-MT","MT",207000,207000,128000,NA,NA,134000,72300,NA,NA,0.410144927536232,0.5453125
"WGBIE-HAKENRTN-1978-2016-ICESIMP2016","HAKENRTN","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/hke-nrtn.pdf","Unknown","Unknown",NA,NA,2010,211000,"TBbest-MT","MT",211000,211000,130000,NA,NA,135000,73000,NA,NA,0.38957345971564,0.528461538461538
"WGBIE-HAKENRTN-1978-2017-ICESIMP2018","HAKENRTN","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,196000,"TBbest-MT","MT",196000,196000,121000,NA,NA,123000,67000,NA,NA,0.433163265306122,0.576859504132231
"WGBIE-HAKENRTN-1978-2018-ICESIMP2018","HAKENRTN","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,207000,"TBbest-MT","MT",207000,207000,127000,NA,NA,131000,71100,NA,NA,0.397101449275362,0.540944881889764
"WGHMM-HAKENRTN-1961-2011-CHING","HAKENRTN","multinational","Europe (EU)","http://www.ices.dk/committe/acom/comwork/report/2012/2012/hke-nrth.pdf","Integrated Analysis","Stock Synthesis v3.0 model",NA,NA,2010,175000,"TBbest-MT","MT",175000,175000,134000,NA,NA,131000,85200,NA,NA,0.416,0.439
"WGBIE-HAKESOTH-1982-2014-ICESIMP2016","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/hke-soth.pdf","Unknown","Unknown",NA,NA,2010,13900,"SSB-MT","MT",NA,NA,NA,NA,NA,13900,14400,NA,NA,0.737,0.975
"WGBIE-HAKESOTH-1982-2015-ICESIMP2016","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/hke-soth.pdf","Unknown","Unknown",NA,NA,2010,12900,"SSB-MT","MT",21900,21900,23300,NA,NA,12900,13800,NA,NA,0.788,1.01
"WGBIE-HAKESOTH-1982-2016-ICESIMP2016","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/hke-soth.pdf","Unknown","Unknown",NA,NA,2010,14600,"SSB-MT","MT",23900,23900,24400,NA,NA,14600,14500,NA,NA,0.707,0.95
"WGBIE-HAKESOTH-1982-2017-ICESIMP2018","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/hke.27.8c9a.pdf","Unknown","Unknown",NA,NA,2010,14300,"SSB-MT","MT",NA,NA,NA,NA,NA,14300,14300,NA,NA,0.722,0.961
"WGBIE-HAKESOTH-1982-2018-ICESIMP2018","HAKESOTH","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,14100,"SSB-MT","MT",23300,23300,24000,NA,NA,14100,14200,NA,NA,0.73,0.967
"WGHMM-HAKESOTH-1972-2011-CHING","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/committe/acom/comwork/report/2012/2012/hke-soth.pdf","Unknown","Unknown",NA,NA,2010,18700,"SSB-MT","MT",NA,NA,NA,NA,NA,18700,17200,NA,NA,0.521,0.825
"WGHMM-HAKESOTH-1982-2013-ICESIMP2016","HAKESOTH","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/hke-soth.pdf","Unknown","Unknown",NA,NA,2010,14700,"SSB-MT","MT",NA,NA,NA,NA,NA,14700,14800,NA,NA,0.695,0.945
"HAWG-HERR2224IIIa-1991-2011-NEUBAUER","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.2%20Herring%20in%20subdivisions%2025-27%2028.2,%2029%20and%2032.pdf","Statistical catch at age model","Integrated Catch-at-age Analysis",NA,NA,2010,164000,"TBbest-MT","MT",164000,164000,178000,NA,NA,95200,105000,NA,NA,0.258,0.378
"HAWG-HERR2224IIIa-1991-2013-ICESIMP2016","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/her-3a22.pdf","Unknown","Unknown",NA,NA,2010,137000,"TBbest-MT","MT",137000,137000,148000,NA,NA,88200,92100,NA,NA,0.308029197080292,0.45472972972973
"HAWG-HERR2224IIIa-1991-2014-ICESIMP2016","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-3a22.pdf","Unknown","Unknown",NA,NA,2010,152000,"TBbest-MT","MT",152000,152000,167000,NA,NA,89100,92300,NA,NA,0.277631578947368,0.402994011976048
"HAWG-HERR2224IIIa-1991-2015-ICESIMP2016","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-3a22.pdf","Unknown","Unknown",NA,NA,2010,155000,"TBbest-MT","MT",155000,155000,169000,NA,NA,92000,94700,NA,NA,0.272258064516129,0.398224852071006
"HAWG-HERR2224IIIa-1991-2016-ICESIMP2016","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-3a22.pdf","Unknown","Unknown",NA,NA,2010,157000,"TBbest-MT","MT",157000,157000,171000,NA,NA,93600,95900,NA,NA,0.268789808917197,0.393567251461988
"HAWG-HERR2224IIIa-1991-2017-ICESIMP2018","HERR2224IIIa","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.20-24.pdf","Unknown","Unknown",NA,NA,2010,152000,"TBbest-MT","MT",152000,152000,168000,NA,NA,90700,93900,NA,NA,0.277631578947368,0.400595238095238
"HAWG-HERR2224IIIa-1991-2018-ICESIMP2018","HERR2224IIIa","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2010,130000,"TBbest-MT","MT",130000,130000,143000,NA,NA,77900,82100,NA,NA,0.324615384615385,0.470629370629371
"WGBFAS-HERR2529-32-1973-2013-ICESIMP2016","HERR2529-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/her-2532-Ex-Go_201304130022.pdf","Unknown","Unknown",NA,NA,2012,1220000,"TBbest-MT","MT",1220000,1220000,1040000,NA,NA,751000,730000,NA,NA,0.0801639344262295,0.1125
"WGBFAS-HERR2529-32-1973-2014-ICESIMP2016","HERR2529-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/her-2532-gor.pdf","Unknown","Unknown",NA,NA,2012,1350000,"TBbest-MT","MT",1350000,1350000,1120000,NA,NA,818000,798000,NA,NA,0.0748148148148148,0.104464285714286
"WGBFAS-HERR2529-32-1973-2015-ICESIMP2016","HERR2529-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-2532-gor.pdf","Unknown","Unknown",NA,NA,2012,1500000,"TBbest-MT","MT",1500000,1500000,1210000,NA,NA,898000,860000,NA,NA,0.0673333333333333,0.0966942148760331
"WGBFAS-HERR2529-32-1973-2016-ICESIMP2016","HERR2529-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-2532-gor.pdf","Unknown","Unknown",NA,NA,2012,1310000,"TBbest-MT","MT",1310000,1310000,1080000,NA,NA,805000,754000,NA,NA,0.0770992366412214,0.108333333333333
"WGBFAS-HERR2529-32-1973-2017-ICESIMP2018","HERR2529-32","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.25-2932.pdf","Unknown","Unknown",NA,NA,2012,1460000,"TBbest-MT","MT",1460000,1460000,1220000,NA,NA,924000,864000,NA,NA,0.0691780821917808,0.0959016393442623
"WGBFAS-HERR2529-32-1973-2018-ICESIMP2018","HERR2529-32","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2012,1460000,"TBbest-MT","MT",1460000,1460000,1220000,NA,NA,813000,774000,NA,NA,0.0691780821917808,0.0959016393442623
"WGBFAS-HERR30-31-1979-2017-ICESIMP2018","HERR30-31","multinational","Europe (EU)","http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/her.27.3031.pdf","Unknown","Unknown",NA,NA,2016,524000,"SSB-MT","MT",704000,704000,741000,NA,NA,524000,557000,NA,NA,0.23,0.21
"WGBFAS-HERR30-31-1979-2018-ICESIMP2018","HERR30-31","multinational","Europe (EU)","","Unknown","Unknown",NA,NA,2016,440000,"SSB-MT","MT",NA,NA,NA,NA,NA,440000,492000,NA,NA,0.26,0.24
"DFO-HERR4TFA-1978-2014-WATSON","HERR4TFA","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_025-eng.pdf","VPA","Sequential Population Analysis / ADAPT","0.2","",2006,231000,"SSB-MT","MT",NA,NA,NA,1140000,1310000,231000,262000,NA,NA,0.329,0.347
"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","HERR4TFA","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","VPA","Sequential Population Analysis / ADAPT","0.2","NULL",2006,359000,"SSB-MT","MT",359000,359000,398000,NA,NA,359000,398000,NA,NA,0.197,0.189
"DFO-HERR4TSP-1978-2014-WATSON","HERR4TSP","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas-sccs/Publications/ResDocs-DocRech/2015/2015_025-eng.pdf","VPA","Sequential Population Analysis / ADAPT","0.2","",2006,11700,"SSB-MT","MT",NA,NA,NA,58000,42400,11700,13200,NA,NA,0.452,1.22
"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","HERR4TSP","Canada","Canada East Coast","http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm","VPA","Sequential Population Analysis / ADAPT","0.2","NULL",2006,30200,"SSB-MT","MT",30200,30200,25800,NA,NA,30200,25800,NA,NA,0.136,0.369
"DFO-HERRCC-1951-2015-WATSON","HERRCC","Canada","Canada West Coast","http://www.dfo-mpo.gc.ca/csas-sccs/publications/scr-rs/2015/2015_038-eng.pdf","Statistical catch at age model","Statistical catch-at-age model",NA,NA,2007,7100,"SSB-MT","MT",22200,22200,32700,NA,NA,7100,8710,NA,NA,0.0179279279279279,0.0938837920489297
"DFO-PAC-HERRCC-1951-2007-COLLIE","HERRCC","Canada","Canada West Coast","received from contact","Statistical catch at age model","an AD-Model builder statistical Catch at Age Model",NA,NA,2007,10800,"SSB-MT","MT",11200,11200,17200,NA,NA,10800,14100,NA,NA,0.0356,0.179
