assessid,stockid,country,region,assesssource,method,methodlong,M,M_notes,ty,B_ty,B_type,B_unit,F_ty,F_type,F_unit,ERmsybest,ERmsybest_notes,Fmsy,Fmsy_notes,TBmsybest,TBmsybest_notes,SSBmsy,SSBmsy_notes,FECmsy,FECmsy_notes,OFL_pdf,OFL_pdf_notes,F_ABC,F_ABC_notes,ABC_pdf,ABC_pdf_notes,if_B_match,comments
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1963-2015-STARR,RROCKLOBSTERCRA8,New Zealand,New Zealand,NULL,Multi-stock length-based model,Multi-stock length-based model,0.0949,Median of posterior distribution,2005,2220,TBbest-MT,MT,0.229,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN,RROCKLOBSTERCRA8,New Zealand,New Zealand,received from contact,Multi-stock length-based model,Multi-stock length-based model,NA,NA,2005,2300,TBbest-MT,MT,0.273,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
ICCAT-ALBANATL-1930-2015-PONS,ALBANATL,multinational,Atlantic Ocean,http://www.iccat.es/Documents/CVSP/CV070_2014/n_3/CV070030830.pdf,Biomass dynamics model (Surplus production model),Surplus production model,0.3,,2011,325000,TBbest-MT,MT,0.061538462,ERbest-ratio,ratio,0.0842,ERmsy-calc-ratio,0.084,,435300,TBmsy-MT,NA,NA,,,,,,,,,,
ICCAT-ALBANATL-1930-2016-PONS,ALBANATL,multinational,Atlantic Ocean,http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf,Statistical catch at age model,"A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2011,529000,TBbest-MT,MT,0.037807183,ERbest-ratio,ratio,NA,NA,0.0871,Fmsy-extr-1/yr,416186.6209,TBmsy-extr-MT,NA,NA,,,,,,,,,,
ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,multinational,Pacific Ocean,http://isc.ac.affrc.go.jp/pdf/ISC14pdf/Annex%2011-%20NPALB%20Stock%20Assessment%20Report_revsied%2029Aug14.pdf,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,NA,NA,2012,669000,TBbest-MT,MT,0.119880419,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,49680,,,,,,,,,,,
ISC-ALBANPAC-1952-2015-PONS,ALBANPAC,multinational,Pacific Ocean,NULL,Stock Synthesis v3.0 model,Stock Synthesis v3.0 model,NA,NA,2012,895000,TBbest-MT,MT,0.103798883,ERbest-ratio,ratio,NA,NA,0.7706,Fmsy-extr-1/yr,NA,NA,24810.4438,SSBmsy-extr-MT,,,,,,,,,,
WGHANSA-ANCHOBAYB-1986-2014-ICESIMP2016,ANCHOBAYB,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/ane-bisc.pdf,Two-stage Bayesian biomass dynamic model (CBBM) assessment,Two-stage Bayesian biomass dynamic model (CBBM) assessment,1,0.8 for age 1 and at 1.2 for older individuals ,2006,21600,TBbest-MT,MT,0.081018519,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,21000,SSBlim-MT ,,,,,,,,,,
WGHANSA-ANCHOBAYB-1986-2016-ICESIMP2018,ANCHOBAYB,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ane-bisc.pdf,Two-stage Bayesian biomass dynamic model (CBBM) assessment,Two-stage Bayesian biomass dynamic model (CBBM) assessment,1,0.8 for age 1 and at 1.2 for older individuals ,2006,20900,TBbest-MT,MT,0.083732057,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,21000,SSBlim-MT ,,,,,,,,,,
ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,multinational,Atlantic Ocean,www.iccat.int/Documents/Meetings/Docs/2010_BET_Assessment_REP_ENG.pdf,Biomass dynamics model (Surplus production model),Surplus production model,NA,NA,2009,423000,TBbest-MT,MT,0.208,ERbest-ratio,ratio,0.2157,ERmsy-calc-ratio,NA,NA,426500.5678,TBmsy-extr-MT,NA,NA,,,,,,,,,,
ICCAT-BIGEYEATL-1950-2016-PONS,BIGEYEATL,multinational,Atlantic Ocean,http://iccat.es/Documents/Meetings/Docs/2015_BET%20ASSESS_REPORT_ENG.pdf,Biomass dynamics model (Surplus production model),Surplus production model,NA,NA,2009,393000,TBbest-MT,MT,0.204580153,ERbest-ratio,ratio,NA,NA,0.1627,Fmsy-extr-1/yr,451459.7572,TBmsy-extr-MT,NA,NA,,,,,,,,,,
SPC-BIGEYECWPAC-1950-2015-PONS,BIGEYECWPAC,multinational,Pacific Ocean,NULL,Statistical catch at age model,"A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2006,1440000,TBbest-MT,MT,0.109722222,ERbest-ratio,ratio,NA,NA,0.5041,Fmsy-extr-1/yr,NA,NA,526500.4134,SSBmsy-extr-MT ,,,,,,,,,,
SPC-BIGEYECWPAC-1952-2006-JENSEN,BIGEYECWPAC,multinational,Pacific Ocean,http://www.wcpfc.int/sc4/pdf/SC4-SA-WP1-rev.1%20%5BBET%20Assessment%5D.pdf,Statistical catch at age model,"A length-based, age and spatially-structured model for fisheries stock assessment",NA,NA,2006,301000,TBbest-MT,MT,0.356,ERbest-ratio,ratio,0.2588,ERmsy-ratio,NA,NA,249600,TBmsy-MT,102200,adult biomass,,,,,,,,,,
WGNPBW-BWHITNEA-1980-2012-CHING,BWHITNEA,multinational,Europe (EU),http://www.ices.dk/committe/acom/comwork/report/2012/2012/whb-comb.pdf,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,4830000,TBbest-MT,MT,0.0215,ERbest-ratio,ratio,NA,NA,0.3,Fmsy,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
WGWIDE-BWHITNEA-1980-2013-ICESIMP2016,BWHITNEA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/whb-comb.pdf,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,5310000,TBbest-MT,MT,0.019585687,ERbest-ratio,ratio,NA,NA,0.3,Fmsy,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
WGWIDE-BWHITNEA-1980-2014-ICESIMP2016,BWHITNEA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/whb-comb.pdf,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,5190000,TBbest-MT,MT,0.020038536,ERbest-ratio,ratio,NA,NA,0.3,Fmsy,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
WGWIDE-BWHITNEA-1980-2015-ICESIMP2016,BWHITNEA,multinational,Europe (EU),,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,4360000,TBbest-MT,MT,0.023853211,ERbest-ratio,ratio,NA,NA,0.3,Fmsy,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
WGWIDE-BWHITNEA-1980-2017-ICESIMP2018,BWHITNEA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/whb-comb.pdf,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,4370000,TBbest-MT,MT,0.023798627,ERbest-ratio,ratio,NA,NA,0.32,Fmgt-1/yr,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
WGWIDE-BWHITNEA-1980-2018-ICESIMP2018,BWHITNEA,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whb.27.1-91214.pdf,Age-based analytical (SAM),Age-based analytical (SAM),0.2,NA,2011,4340000,TBbest-MT,MT,0.023963134,ERbest-ratio,ratio,NA,NA,0.32,Fmgt-1/yr,NA,NA,2250000, SSBmgt-MT,,,,,,,,,,
AFWG-CAPENOR-1965-2007-MINTO,CAPENOR,multinational,Europe (non-EU),http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,Spreadsheet assessment model used for Capelin,Spreadsheet assessment model used for Capelin,NA,NA,2006,902000,TBbest-MT,MT,0,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
AFWG-CAPENOR-1972-2017-ICESIMP2018,CAPENOR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cap.27.1-2.pdf,Model based on acoustic survey and prediction six months ahead to calculate spawning biomass,"The model estimates maturity, growth, and mortality (including predation by immature cod on pre-spawning capelin). Target escapement strategy used. ",NA,NA,2006,787000,TBbest-MT,MT,0,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
WGBFAS-CODBA2224-1969-2013-ICESIMP2016,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/cod-2224_201304100002.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,48200,TBbest-MT,MT,0.338174274,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,23000,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1969-2014-ICESIMP2016,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-2224.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,46000,TBbest-MT,MT,0.415217391,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,36400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1993-2015-ICESIMP2016,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-2224.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,16900,TBbest-MT,MT,0.656804734,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,38400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1993-2016-ICESIMP2016,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-2224.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,16900,TBbest-MT,MT,0.53964497,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,38400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1993-2016-ICESIMP2018,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-2224.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,16900,TBbest-MT,MT,0.53964497,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,38400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1993-2017-ICESIMP2018,CODBA2224,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.22-24.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,16500,TBbest-MT,MT,0.660606061,ERbest-ratio,ratio,NA,NA,0.26,Fmy,NA,NA,38400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2224-1993-2018-ICESIMP2018,CODBA2224,multinational,Europe (EU),,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,16300,TBbest-MT,MT,0.668711656,ERbest-ratio,ratio,NA,NA,0.26,,NA,NA,38400,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2532-1964-2013-ICESIMP2016,CODBA2532,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/cod-2532_201304112231.pdf,Age analytical assessment (SAM),Age analytical assessment (SAM) ,0.2,NA,2011,198000,TBbest-MT,MT,0.254545455,ERbest-ratio,ratio,NA,NA,0.3,Fmy,NA,NA,88200,SSBmgt-MT,,,,,,,,,,
WGBFAS-CODBA2532-1966-2012-CHING,CODBA2532,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-2532.pdf,VPA,Extended Survivor Analysis,0.2,NA,2011,291000,TBbest-MT,MT,0.173,ERbest-ratio,ratio,NA,NA,0.3,Fmy,NA,NA,NA,NA,,,,,,,,,,
NWWG-CODFAPL-1957-2015-ICESIMP2016,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-farp.pdf,XSA with catch-at-age data and age-disaggregated indices ,XSA with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,30800,TBbest-MT,MT,0.316883117,ERbest-ratio,ratio,NA,NA,0.32,Fmsy,NA,NA,40000,Bpa,,,,,,,,,,
NWWG-CODFAPL-1957-2016-ICESIMP2016,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-farp.pdf,XSA with catch-at-age data and age-disaggregated indices ,XSA with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,29300,TBbest-MT,MT,0.330716724,ERbest-ratio,ratio,NA,NA,0.32,Fmsy,NA,NA,40000,Bpa,,,,,,,,,,
NWWG-CODFAPL-1958-2017-ICESIMP2018,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.5b1.pdf,SAM with catch-at-age data and age-disaggregated indices ,SAM with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,33200,TBbest-MT,MT,0.29186747,ERbest-ratio,ratio,NA,NA,0.23,Fmsy,NA,NA,29226,Bpa,,,,,,,,,,
NWWG-CODFAPL-1958-2018-ICESIMP2018,CODFAPL,multinational,Europe (non-EU),,SAM with catch-at-age data and age-disaggregated indices ,SAM with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,33600,TBbest-MT,MT,0.288392857,ERbest-ratio,ratio,NA,NA,0.23,Fmsy,NA,NA,29226,Bpa,,,,,,,,,,
NWWG-CODFAPL-1959-2012-CHING,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-farp.pdf,XSA with catch-at-age data and age-disaggregated indices ,XSA with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,38300,TBbest-MT,MT,0.258,ERbest-ratio,ratio,NA,NA,0.32,Fmsy,NA,NA,40000,Bpa,,,,,,,,,,
NWWG-CODFAPL-1959-2013-ICESIMP2016,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/cod-farp.pdf,XSA with catch-at-age data and age-disaggregated indices ,XSA with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,35500,TBbest-MT,MT,0.278873239,ERbest-ratio,ratio,NA,NA,0.32,Fmsy,NA,NA,40000,Bpa,,,,,,,,,,
NWWG-CODFAPL-1959-2014-ICESIMP2016,CODFAPL,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-farp.pdf,XSA with catch-at-age data and age-disaggregated indices ,XSA with catch-at-age data and age-disaggregated indices ,0.2,NA,2011,32800,TBbest-MT,MT,0.297560976,ERbest-ratio,ratio,NA,NA,0.32,Fmsy,NA,NA,40000,Bpa,,,,,,,,,,
NWWG-CODICE-1952-2012-CHING,CODICE,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-iceg.pdf,Statistical catch at age model,Statistical catch-at-age model,0.2,NA,2011,944000,TBbest-MT,MT,0.28,F-1/yr,1/yr,0.2,Harvest RateMP ,NA,NA,NA,NA,220000,MPBtrigger ,,,,,,,,,,
NWWG-CODICE-1952-2014-ICESIMP2016,CODICE,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-iceg.pdf,Statistical catch at age model,Statistical catch-at-age model,0.2,NA,2011,932000,TBbest-MT,MT,0.28,F-1/yr,1/yr,0.2,Harvest RateMP ,NA,NA,NA,NA,220000,MPBtrigger ,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2011-NEUBAUER,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2014%20Cod.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,188000,TBbest-MT,MT,0.368617021,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,150000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2013-ICESIMP2016,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/cod-347.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,200000,TBbest-MT,MT,0.251,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,150000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2014-ICESIMP2016,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-347d.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,190000,TBbest-MT,MT,0.262631579,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,150000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2015-ICESIMP2016,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-347d.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,242000,TBbest-MT,MT,0.15,ERbest-ratio,ratio,NA,NA,0.33,Fmsy,NA,NA,165000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2016-ICESIMP2016,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-347d.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,236000,TBbest-MT,MT,0.206355932,ERbest-ratio,ratio,NA,NA,0.33,Fmsy,NA,NA,165000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2016-ICESIMP2018,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-347d.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,236000,TBbest-MT,MT,0.206779661,ERbest-ratio,ratio,NA,NA,0.33,Fmsy,NA,NA,165000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2017-ICESIMP2018,CODIIIaW-IV-VIId,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.47d20.pdf,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,228000,TBbest-MT,MT,0.214035088,ERbest-ratio,ratio,NA,NA,0.31,Fmsy,NA,NA,150000,Bpa,,,,,,,,,,
WGNSSK-CODIIIaW-IV-VIId-1962-2018-ICESIMP2018,CODIIIaW-IV-VIId,multinational,Europe (EU),,StateÐspace age-structured assessment model (SAM) ,StateÐspace age-structured assessment model (SAM) ,0.2,NA,2010,222000,TBbest-MT,MT,0.218468468,ERbest-ratio,ratio,NA,NA,0.31,Fmsy,NA,NA,150000,Bpa,,,,,,,,,,
WGBFAS-CODIS-1968-2010-NEUBAUER,CODIS,multinational,Europe (EU),http://www.ices.dk/reports/ACOM/2011/WGCSE/draft_06.2_Cod%20VIIa.pdf,VPA,The ADAPT approach with year effects in a catch multiplier,0.2,,2010,5070,TBbest-MT,MT,0.235,ERbest-ratio,ratio,NA,NA,0.37,Fmsy,NA,NA,NA,NA,,,,,,,,,,
WGCSE-CODIS-1967-2013-ICESIMP2016,CODIS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/cod-iris.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),0.2,NA,2010,3160,TBbest-MT,MT,0.266139241,ERbest-ratio,ratio,NA,NA,0.37,Fmsy,NA,NA,10000,Bpa,,,,,,,,,,
WGCSE-CODIS-1967-2014-ICESIMP2016,CODIS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-iris.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),0.2,NA,2010,3290,TBbest-MT,MT,0.141033435,ERbest-ratio,ratio,NA,NA,0.37,Fmsy,NA,NA,10000,Bpa,,,,,,,,,,
WGCSE-CODIS-1967-2015-ICESIMP2016,CODIS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-iris.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),0.2,NA,2010,3340,TBbest-MT,MT,0.251796407,ERbest-ratio,ratio,NA,NA,0.37,Fmsy,NA,NA,10000,Bpa,,,,,,,,,,
WGCSE-CODIS-1967-2016-ICESIMP2016,CODIS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-iris.pdf,Age-based analytical assessment (SAM),Age-based analytical assessment (SAM),0.2,NA,2010,3900,TBbest-MT,MT,0.215641026,ERbest-ratio,ratio,NA,NA,0.37,Fmsy,NA,NA,10000,Bpa,,,,,,,,,,
WGCSE-CODIS-1968-2017-ICESIMP2018,CODIS,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.7a.pdf,Analytical assessment (ASAP) ,Analytical assessment (ASAP) ,0.2,NA,2010,3670,TBbest-MT,MT,0.231607629,ERbest-ratio,ratio,NA,NA,0.309,Fmsy,NA,NA,8616,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2013-ICESIMP2016,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/cod-arct.pdf,Age-based analytical assessment (XSA),Age-based analytical assessment (XSA),0.2,NA,2011,3430000,TBbest-MT,MT,0.209912536,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2014-ICESIMP2016,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-arct.pdf,Age-based analytical assessment (XSA),Age-based analytical assessment (XSA),0.2,NA,2011,3560000,TBbest-MT,MT,0.202247191,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2015-ICESIMP2016,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-arct.pdf,Age-based analytical assessment (XSA),Age-based analytical assessment (XSA),0.2,NA,2011,3380000,TBbest-MT,MT,0.213017751,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2016-ICESIMP2016,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-arct.pdf,Age-based analytical assessment (XSA),Age-based analytical assessment (XSA),0.2,NA,2011,3590000,TBbest-MT,MT,0.200557103,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2017-ICESIMP2018,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.1-2.pdf,Statistical catch-at-age (SAM) ,Statistical catch-at-age (SAM) ,0.2,NA,2011,4040000,TBbest-MT,MT,0.178217822,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1943-2018-ICESIMP2018,CODNEAR,multinational,Europe (non-EU),,Statistical catch-at-age (SAM) ,Statistical catch-at-age (SAM) ,0.2,NA,2011,4020000,TBbest-MT,MT,0.179104478,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,460000,Bpa,,,,,,,,,,
AFWG-CODNEAR-1946-2011-CHING,CODNEAR,multinational,Europe (non-EU),http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acfm/2006/afwg/03-NEA%20Cod.pdf,Age-based analytical assessment (XSA),Age-based analytical assessment (XSA),0.2,NA,2011,3640000,TBbest-MT,MT,0.198,ERbest-ratio,ratio,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
WGCSE-CODVIa-1980-2013-ICESIMP2016,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2013/2013/cod-scow.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,3210,TBbest-MT,MT,0.504672897,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,22000,Bpa,,,,,,,,,,
WGCSE-CODVIa-1980-2014-ICESIMP2016,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/cod-scow.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,3800,TBbest-MT,MT,0.557894737,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,22000,Bpa,,,,,,,,,,
WGCSE-CODVIa-1980-2015-ICESIMP2016,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/cod-scow.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,4370,TBbest-MT,MT,0.485125858,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,22000,Bpa,,,,,,,,,,
WGCSE-CODVIa-1980-2017-ICESIMP2018,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/cod.27.6a.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,4250,TBbest-MT,MT,0.498823529,ERbest-ratio,ratio,NA,NA,0.17,Fmsy,NA,NA,20000,Bpa,,,,,,,,,,
WGCSE-CODVIa-1981-2012-CHING,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/cod-scow.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,5930,TBbest-MT,MT,0.504672897,ERbest-ratio,ratio,NA,NA,0.19,Fmsy,NA,NA,22000,Bpa,,,,,,,,,,
WGCSE-CODVIa-1981-2016-ICESIMP2016,CODVIa,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/cod-scow.pdf,Analytical age-based assessment (TSA),Analytical age-based assessment (TSA),0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,4460,TBbest-MT,MT,0.475336323,ERbest-ratio,ratio,NA,NA,0.17,Fmsy,NA,NA,20000,Bpa,,,,,,,,,,
WGBFAS-CODVIIek-1971-2012-CHING,CODVIIek,multinational,Europe (EU),http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2012/WGCSE/07.01_07.02_CS%20Overview_Cod%20VIIe_k_2012.pdf,VPA (XSA),Extended Survivor Analysis,0.2,"Actually, mortality-at-age rather than M=0.2 ",2011,23400,TBbest-MT,MT,0.202,ERbest-ratio,ratio,NA,NA,0.4,Fmsy,NA,NA,10300,Bpa,,,,,,,,,,
